Date,Description,Amount,Category
2024-11-18,WATER UTILITY,-48.50,Utilities
2024-11-20,RENT PAYMENT APT 204,-1850.00,Rent
2024-11-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2024-11-23,SPOTIFY PREMIUM,-10.99,Entertainment
2024-11-25,THANKSGIVING GROCERIES,-267.89,Groceries
2024-11-28,BLACK FRIDAY SHOPPING,-189.99,Shopping
2024-11-30,ELECTRIC COMPANY BILL,-165.40,Utilities
2024-12-06,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-12-08,WHOLE FOODS MARKET,-134.56,Groceries
2024-12-10,CHEVRON GAS,-51.30,Gas & Fuel
2024-12-12,CHRISTMAS GIFTS,-345.67,Shopping
2024-12-15,INTERNET PROVIDER,-79.99,Utilities
2024-12-20,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2024-12-20,RENT PAYMENT APT 204,-1850.00,Rent
2024-12-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2024-12-23,SPOTIFY PREMIUM,-10.99,Entertainment
2024-12-24,HOLIDAY DINNER OUT,-125.00,Dining Out
2024-12-26,AFTER CHRISTMAS SALE,-78.90,Shopping
2024-12-28,KROGER GROCERIES,-98.76,Groceries
2024-12-30,ELECTRIC COMPANY BILL,-178.25,Utilities
2024-12-31,YEAR END BONUS,2500.00,Bonus
2025-01-03,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-01-05,COSTCO WHOLESALE,-198.45,Groceries
2025-01-08,SHELL GAS STATION,-47.90,Gas & Fuel
2025-01-12,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-01-17,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-01-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-01-21,WATER UTILITY,-46.00,Utilities
2025-01-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-01-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-01-25,TRADER JOES,-112.34,Groceries
2025-01-28,PHONE BILL VERIZON,-85.00,Utilities
2025-01-30,ELECTRIC COMPANY BILL,-185.50,Utilities
2025-02-07,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-02-09,WALMART GROCERY,-89.45,Groceries
2025-02-12,BP GAS STATION,-52.40,Gas & Fuel
2025-02-14,VALENTINES DINNER,-95.00,Dining Out
2025-02-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-02-21,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-02-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-02-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-02-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-02-25,ALDI GROCERIES,-76.89,Groceries
2025-02-28,ELECTRIC COMPANY BILL,-168.75,Utilities
2025-03-07,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-03-09,PUBLIX GROCERIES,-145.67,Groceries
2025-03-11,CHEVRON GAS,-48.60,Gas & Fuel
2025-03-14,INTERNET PROVIDER,-79.99,Utilities
2025-03-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-03-21,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-03-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-03-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-03-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-03-25,KROGER GROCERIES,-123.45,Groceries
2025-03-28,CAR MAINTENANCE,-289.00,Auto & Transport
2025-03-30,ELECTRIC COMPANY BILL,-152.40,Utilities
2025-04-04,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-04-06,WHOLE FOODS MARKET,-167.89,Groceries
2025-04-08,SHELL GAS STATION,-54.20,Gas & Fuel
2025-04-12,TAX REFUND,1234.56,Other Income
2025-04-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-04-18,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-04-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-04-21,WATER UTILITY,-47.50,Utilities
2025-04-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-04-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-04-25,TARGET SHOPPING,-134.56,Shopping
2025-04-28,PHONE BILL VERIZON,-85.00,Utilities
2025-04-30,ELECTRIC COMPANY BILL,-135.25,Utilities
2025-05-02,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-05-04,COSTCO WHOLESALE,-212.34,Groceries
2025-05-07,BP GAS STATION,-49.90,Gas & Fuel
2025-05-10,MOTHERS DAY GIFT,-75.00,Shopping
2025-05-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-05-16,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-05-18,RESTAURANT BRUNCH,-45.00,Dining Out
2025-05-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-05-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-05-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-05-25,TRADER JOES,-98.76,Groceries
2025-05-28,UBER RIDE,-18.50,Transportation
2025-05-30,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-05-31,ELECTRIC COMPANY BILL,-128.90,Utilities
2025-06-03,WALMART GROCERY,-156.78,Groceries
2025-06-06,EXXON GAS,-53.40,Gas & Fuel
2025-06-10,SUMMER CLOTHES,-189.99,Shopping
2025-06-13,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-06-14,INTERNET PROVIDER,-79.99,Utilities
2025-06-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-06-18,FATHERS DAY GIFT,-65.00,Shopping
2025-06-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-06-21,WATER UTILITY,-52.00,Utilities
2025-06-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-06-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-06-25,PUBLIX GROCERIES,-134.56,Groceries
2025-06-27,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-06-28,DINING OUT BBQ,-67.50,Dining Out
2025-06-30,ELECTRIC COMPANY BILL,-145.60,Utilities
2025-07-04,JULY 4TH PARTY SUPPLIES,-89.99,Shopping
2025-07-07,ALDI GROCERIES,-78.45,Groceries
2025-07-10,SHELL GAS STATION,-51.20,Gas & Fuel
2025-07-11,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-07-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-07-18,AMAZON PURCHASE,-45.67,Shopping
2025-07-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-07-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-07-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-07-25,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-07-26,KROGER GROCERIES,-112.34,Groceries
2025-07-28,PHONE BILL VERIZON,-85.00,Utilities
2025-07-30,ELECTRIC COMPANY BILL,-158.75,Utilities
2025-08-01,CHEVRON GAS,-48.90,Gas & Fuel
2025-08-05,WHOLE FOODS MARKET,-145.67,Groceries
2025-08-08,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-08-10,BACK TO SCHOOL SUPPLIES,-123.45,Shopping
2025-08-14,INTERNET PROVIDER,-79.99,Utilities
2025-08-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-08-18,SIDE GIG PAYMENT,350.00,Other Income
2025-08-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-08-21,WATER UTILITY,-48.00,Utilities
2025-08-22,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-08-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-08-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-08-25,TARGET SHOPPING,-89.99,Shopping
2025-08-28,COSTCO WHOLESALE,-187.65,Groceries
2025-08-30,ELECTRIC COMPANY BILL,-162.40,Utilities
2025-09-05,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-09-07,TRADER JOES,-98.76,Groceries
2025-09-10,BP GAS STATION,-50.60,Gas & Fuel
2025-09-12,LABOR DAY SALE,-156.78,Shopping
2025-09-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-09-19,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-09-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-09-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-09-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-09-25,PUBLIX GROCERIES,-123.45,Groceries
2025-09-28,PHONE BILL VERIZON,-85.00,Utilities
2025-09-30,ELECTRIC COMPANY BILL,-148.90,Utilities
2025-10-03,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-10-05,WALMART GROCERY,-134.56,Groceries
2025-10-08,EXXON GAS,-52.30,Gas & Fuel
2025-10-12,FALL CLOTHING,-178.99,Shopping
2025-10-14,INTERNET PROVIDER,-79.99,Utilities
2025-10-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-10-17,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-10-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-10-21,WATER UTILITY,-46.50,Utilities
2025-10-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-10-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-10-25,ALDI GROCERIES,-87.65,Groceries
2025-10-28,HALLOWEEN DECORATIONS,-45.99,Shopping
2025-10-30,ELECTRIC COMPANY BILL,-155.25,Utilities
2025-10-31,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-11-02,KROGER GROCERIES,-145.67,Groceries
2025-11-05,SHELL GAS STATION,-49.80,Gas & Fuel
2025-11-08,HOME REPAIR,-234.56,Home Improvement
2025-11-14,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-11-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-11-18,RESTAURANT DINNER,-85.00,Dining Out
2025-11-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-11-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-11-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-11-25,THANKSGIVING GROCERIES,-234.56,Groceries
2025-11-28,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-11-28,BLACK FRIDAY DEALS,-267.89,Shopping
2025-11-30,ELECTRIC COMPANY BILL,-172.40,Utilities
2025-12-02,WHOLE FOODS MARKET,-156.78,Groceries
2025-12-05,CHEVRON GAS,-54.20,Gas & Fuel
2025-12-08,HOLIDAY GIFTS,-456.78,Shopping
2025-12-12,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-12-14,INTERNET PROVIDER,-79.99,Utilities
2025-12-15,GYM MEMBERSHIP,-49.99,Health & Fitness
2025-12-18,CHRISTMAS PARTY,-75.00,Dining Out
2025-12-20,RENT PAYMENT APT 204,-1850.00,Rent
2025-12-21,WATER UTILITY,-49.00,Utilities
2025-12-22,NETFLIX SUBSCRIPTION,-15.99,Entertainment
2025-12-23,SPOTIFY PREMIUM,-10.99,Entertainment
2025-12-25,COSTCO WHOLESALE,-198.45,Groceries
2025-12-26,DIRECT DEP ACME CORP PAYROLL,3500.00,Paycheck
2025-12-28,PHONE BILL VERIZON,-85.00,Utilities
2025-12-30,ELECTRIC COMPANY BILL,-185.60,Utilities
2025-12-31,YEAR END BONUS,3000.00,Bonus
